filter,wavelength,throughput,lambda_c,speclite_filter,source
u,0.34990000000001126,0.09291686821362555,0.3745700760437951,lsst2023-u,lsst2023
u,0.3500000000000113,0.09332324225910543,0.3745700760437951,lsst2023-u,lsst2023
u,0.35010000000001135,0.0936690275382283,0.3745700760437951,lsst2023-u,lsst2023
u,0.3502000000000114,0.09401512003694742,0.3745700760437951,lsst2023-u,lsst2023
u,0.3503000000000114,0.09436152951108975,0.3745700760437951,lsst2023-u,lsst2023
u,0.3504000000000114,0.09470827550984011,0.3745700760437951,lsst2023-u,lsst2023
u,0.3505000000000114,0.09505538755261628,0.3745700760437951,lsst2023-u,lsst2023
u,0.35060000000001146,0.09543579152292958,0.3745700760437951,lsst2023-u,lsst2023
u,0.35070000000001145,0.09581686290569646,0.3745700760437951,lsst2023-u,lsst2023
u,0.3508000000000115,0.09619866083775541,0.3745700760437951,lsst2023-u,lsst2023
u,0.3509000000000115,0.0965812551189512,0.3745700760437951,lsst2023-u,lsst2023
u,0.3510000000000115,0.0969647264095781,0.3745700760437951,lsst2023-u,lsst2023
u,0.35110000000001157,0.09722400262743855,0.3745700760437951,lsst2023-u,lsst2023
u,0.3512000000000116,0.09748365615621994,0.3745700760437951,lsst2023-u,lsst2023
u,0.3513000000000116,0.09774379940196798,0.3745700760437951,lsst2023-u,lsst2023
u,0.35140000000001165,0.09800455581168707,0.3745700760437951,lsst2023-u,lsst2023
u,0.35150000000001164,0.09826606001115533,0.3745700760437951,lsst2023-u,lsst2023
u,0.3516000000000117,0.09856225090831885,0.3745700760437951,lsst2023-u,lsst2023
u,0.35170000000001167,0.09885909648183847,0.3745700760437951,lsst2023-u,lsst2023
